Search term,Match type,Campaign,Impressions,Clicks,Cost,Conversions,Conv value
running shoes for women,Phrase,NonBrand - Prospecting,18400,612,826.20,41.0,4920.00
best trail running shoes,Broad,NonBrand - Prospecting,12100,388,523.80,22.0,2640.00
buy waterproof sneakers,Phrase,NonBrand - Prospecting,9800,301,406.35,18.0,2160.00
free running shoes,Broad,NonBrand - Prospecting,22300,540,729.00,0.0,0.00
how to clean shoes at home,Broad,NonBrand - Prospecting,31200,712,961.20,1.0,60.00
running shoes repair near me,Broad,NonBrand - Prospecting,14800,398,537.30,0.0,0.00
nike jobs application,Broad,NonBrand - Prospecting,8900,205,276.75,0.0,0.00
kids drawing of shoes,Broad,NonBrand - Prospecting,6700,158,213.30,0.0,0.00
cheap fake sneakers,Broad,NonBrand - Prospecting,11200,289,390.15,0.0,0.00
shoe size chart uk,Broad,NonBrand - Prospecting,19600,455,614.25,0.0,0.00
